t_and_o_map  europe continent europa_regina 
omnivore  europe hominid taiga biogeography predator carnivore bear polar_bear 
fauna_of_europe  europe 
republic_of_artsakh  europe asia russian_federation council_of_europe belarus kazakhstan vatican_city albania andorra austria azerbaijan belgium bosnia_and_herzegovina bulgaria croatia czech_republic denmark estonia finland france germany georgia_(country) greece hungary iceland republic_of_ireland italy san_marino kosovo latvia liechtenstein lithuania luxembourg republic_of_macedonia malta moldova monaco montenegro netherlands norway portugal romania russia serbia slovakia slovenia spain sweden switzerland turkey ukraine united_kingdom armenia cyprus greenland balkans caucasus turkish_republic balkan list_of_countries_by_area list_of_countries_by_population list_of_states_with_limited_recognition abkhazia stepanakert northern_cyprus south_ossetia transnistria akrotiri_and_dhekelia %c3%85land_islands %c3%85land 
social_revolution  europe eastern_question 
copenhagen  europe european_union demonym istanbul moscow paris london madrid demographics_of_europe vatican_city enlargement_of_the_european_union denmark gibraltar iceland lithuania monaco norway sweden greenland baltic_sea nebra_sky_disk parthenon athens kiev list_of_epidemics florence rome avignon thirty_years_war napoleonic_empire revolutions_of_1848 hamburg berlin nordic_council tirana andorra_la_vella yerevan vienna baku minsk brussels sarajevo sofia zagreb nicosia prague copenhagen tallinn helsinki tbilisi budapest reykjav%c3%adk dublin astana riga vaduz vilnius luxembourg_(city) skopje valletta chi%c8%99in%c4%83u podgorica amsterdam oslo warsaw lisbon bucharest belgrade bratislava ljubljana stockholm bern ankara pristina stepanakert tskhinvali tiraspol t%c3%b3rshavn 
umayyad_caliphate  europe middle_ages phoenicia maghreb azerbaijan portugal spain armenia shem nile islamic_world islam history_of_europe phoenicians achaemenid_empire roman_empire augustus early_middle_ages carolingian_empire visigoths byzantine_empire sasanids muslim al-andalus frankish_empire charles_martel battle_of_tours holy_roman_empire serbian_empire crusades muslims jerusalem holy_land reconquista ottoman_empire golden_horde napoleonic_empire austrian_empire austro-hungarian_empire russian_empire austria-hungary german_empire nazi_germany british_empire superpower yerevan ankara 
pascal_(unit)  extratropical_cyclone tornado dew_point jetstream atmospheric_pressure bar_(unit) inch_of_mercury heat_of_condensation mean_sea_level_pressure hurricane_wilma hurricane_sandy extratropical_transition_technique mediterranean_tropical-like_cyclone 
brexit  renminbi europe european_union kingdom_of_great_britain european_integration enlargement_of_the_european_union euro schengen_area european_anthem republic_of_ireland history_of_europe history_of_the_european_union european_coal_and_steel_community euratom european_community european_parliament politics_of_europe eurozone crown_dependencies 
washington_(u.s._state)  extratropical_cyclone extratropical_transition_technique eurasian_wolf 
stalin  europe gulag nkvd 
first_bulgarian_empire  europe migration_period middle_ages renaissance_humanism phoenicia bulgaria hungary kosovo slovakia phoenicians parthenon achaemenid_empire roman_empire augustus early_middle_ages carolingian_empire slavs bulgars pechenegs byzantine_empire charlemagne croats sasanids history_of_islam_in_southern_italy umayyad_caliphate umayyad frankish_empire holy_roman_empire south_slavs serbian_empire high_middle_ages late_middle_ages crusades ottoman_empire turkic_peoples slavic_peoples golden_horde france_in_the_middle_ages napoleonic_empire austrian_empire austro-hungarian_empire russian_empire austria-hungary german_empire nazi_germany british_empire sofia budapest skopje belgrade pristina 
soviet_union  united_states world_war_i crimean_war canada europe moscow paris london borders_of_the_continents ural_mountains caucasus_mountains caspian_sea black_sea asia russian_federation world_population western_civilization migration_period renaissance_exploration age_of_discovery africa western_europe cold_war iron_curtain nato warsaw_pact revolutions_of_1989 berlin_wall winston_churchill belarus kazakhstan federation europe_day boundaries_between_continents albania austria azerbaijan bulgaria czech_republic estonia finland germany georgia_(country) greece hungary latvia lithuania moldova svalbard poland romania russia spain sweden turkey ukraine armenia cyprus baltic_sea eastern_orthodox muscovy kerch_strait volga_river history_of_europe greeks athens germanic_peoples huns slavs caucasus kiev roman_catholic_church jerusalem turkic_peoples slavic_peoples mongol_invasion_of_rus tatars pandemic persecution_of_jews rome peace_of_westphalia kazakh_khanate french_revolution nation_state balance_of_power_(international_relations) great_power prussia nation-states russian_empire child_labour interwar_period world_war_ii russian_revolution communist treaty_of_versailles russian_civil_war stalin soviet_famine_of_1932-1933 kulak gulag unfree_labour great_purge nkvd population_transfer_in_the_soviet_union the_great_war weimar_republic mussolini fascism kingdom_of_italy turkish_republic nazi_germany munich_agreement czechoslovakia appeasement hamburg second_polish_republic molotov%e2%80%93ribbentrop_pact invasion_of_poland european_theatre_of_world_war_ii battles_of_narvik phoney_war battle_of_britain operation_barbarossa empire_of_japan british_empire allies_of_world_war_ii yalta_conference joseph_stalin battle_of_stalingrad battle_of_kursk battle_of_prokhorovka normandy_landings berlin battle_of_berlin world_war_ii_casualties the_holocaust refugee superpower nuclear_proliferation decolonisation glasnost taiga southern_europe wolf polar_bear eurasian_wolf bia%c5%82owie%c5%bca_forest politics_of_europe republic nordic_council visegr%c3%a1d_group flag yerevan baku minsk sofia prague tallinn helsinki budapest astana riga vilnius chi%c8%99in%c4%83u amsterdam stockholm de_facto abkhazia sukhumi stepanakert tskhinvali transnistria heligoland jersey 
trough_(meteorology)  extratropical_cyclone low-pressure_area weather_system weather_front post-tropical_cyclone depression_(weather) weather_fronts surface_weather_analysis convergence_zone shortwave_(meteorology) cold_front low_pressure_system ridge_(meteorology) blocking_anticyclone great_storm_of_1987 hurricane_wilma hurricane_sandy extratropical_transition_technique tropical_cyclogenesis atlantic_hurricane mediterranean_tropical-like_cyclone 
thirty_years_war  europe austria sweden holy_roman_empire inquisition early_modern_period sudetenland hamburg 
austro-hungarian_empire  world_war_i crimean_war europe modern_era world_war austria czech_republic hungary italy romania slovakia history_of_europe slavs ottoman_empire slavic_peoples polish%e2%80%93lithuanian_commonwealth modern_history nation_state austro-hungarian_empire italian_unification nation-states russian_empire interwar_period history_of_the_european_union yugoslav_nationalism austria-hungary german_empire stalin the_great_war kingdom_of_italy munich_agreement joseph_stalin republic sarajevo prague budapest belgrade pristina 
asia  anticyclone rain thunderstorm southern_hemisphere northern_hemisphere jetstream cold-core_low united_states ocean precipitation_(meteorology) crimean_war subtropical_ridge siberian_high europe list_of_continents_by_population demonym istanbul moscow paris continent eastern_hemisphere mediterranean_sea eurasia borders_of_the_continents ural_mountains caucasus_mountains ural_river caspian_sea physical_geography asia russian_federation demographics_of_europe world_population ancient_history americas africa oceania world_war soviet_union cold_war kazakhstan athena anatolia list_of_transcontinental_countries boundaries_between_continents transcontinental_country azerbaijan georgia_(country) greece russia spain turkey cyprus north_america t_and_o_map anaximander eastern_orthodox islamic_world byzantium europa_regina volga_river history_of_europe homo_erectus_georgicus near_east mediterranean_coast minoan_civilization greeks mediterranean_basin roman_republic constantinople asia_minor caucasus carolingian serbian_empire inquisition pandemic list_of_epidemics early_modern_period medici habsburg_dynasty christopher_columbus new_world vasco_da_gama orient world_war_ii communist turkish_republic british_empire superpower geography_of_europe taiga temperate_steppe baltica supercontinent columbia_(supercontinent) laurentia rodinia euramerica gondwana pangea laurasia southern_europe avalonia livestock cork_oak beech oak birch olive steppe biogeography bear european_brown_bear dwarf_elephant mediterranean area_and_population_of_european_countries list_of_countries_by_area list_of_countries_by_population_density helsinki tbilisi abkhazia northern_cyprus south_ossetia 
mongol_invasion_of_rus  europe moscow ukraine cumans late_middle_ages 
kingdom_of_italy  world_war_i europe renaissance_exploration age_of_discovery soviet_union vatican_city franks albania greece hungary italy slovenia adriatic_sea roman_era history_of_europe ancient_rome roman_empire roman_republic carolingian_empire byzantine_empire emirate_of_sicily history_of_islam_in_southern_italy maritime_republics roman_catholic_church papacy ottoman_empire florence pope rome quattrocento cinquecento polish%e2%80%93lithuanian_commonwealth habsburg_dynasty great_power revolutions_of_1848 austro-hungarian_empire italian_unification russian_empire habsburg_empire balkan_wars congress_of_berlin world_war_ii franz_joseph_i_of_austria archduke_franz_ferdinand_of_austria entente_powers central_powers austria-hungary german_empire treaty_of_versailles russian_civil_war stalin the_great_war mussolini fascism kingdom_of_italy nazi_germany appeasement european_theatre_of_world_war_ii battle_of_france battle_of_britain operation_barbarossa british_empire allies_of_world_war_ii joseph_stalin battle_of_stalingrad world_war_ii_casualties alps italian_peninsula apennine_mountains constitutional_monarchy ankara pristina 
renaissance  europe european_union ural_mountains classical_antiquity russian_federation ancient_greece western_civilization ancient_history middle_ages renaissance_humanism renaissance_exploration renaissance_art renaissance_science modern_era age_of_discovery western_europe vatican_city greek_mythology ancient_greek athena hera princeton_university germany greece hungary italy lithuania malta poland russia serbia slovenia spain roman_era christendom history_of_europe crete greeks ancient_rome philosophy humanism aristotle socrates plato historiography thucydides homer galen archimedes city_states roman_empire latin roman_engineering germanic_peoples christianity late_antiquity early_middle_ages petrarch al-andalus charles_martel high_middle_ages late_middle_ages renaissance_of_the_12th_century maritime_republics nobility roman_catholic_church crusades inquisition granada fall_of_constantinople mongol_invasion_of_europe pandemic beggars early_modern_period protestant_reformation scientific_revolution michelangelo florence latin_language history_of_science_in_the_renaissance rome quattrocento cinquecento polish%e2%80%93lithuanian_commonwealth copernicus england modern_history prussia italian_unification russian_empire habsburg_empire interwar_period history_of_the_european_union yugoslav_nationalism fascism british_empire southern_europe sofia zagreb prague tbilisi vilnius warsaw bratislava akrotiri_and_dhekelia 
